guid,front,back,tags
x]=MrU`jP_,What is event latency? ,The amount of time that elapses from when an event occurs to when it is serviced.,"CS::OSChapter05, CS::operating-systems"
jF.4T|{*en, What is the basic computational unit of a CPU?,a core,"CS::OSChapter05, CS::operating-systems"
ndr4.1=?q0,What is time quantom in round robin scheduling?,The slice of time that each process gets,"CS::OSChapter05, CS::operating-systems"
B3a/a=Z_KO, What is the interval from the time of submission to completion of the process called?,turnaround time,"CS::OSChapter05, CS::operating-systems"
zh}G:PFRJ+, What is the simplest CPU-scheduling algorithm?,first-come first-serve (FCFS) scheduling algorithm,"CS::OSChapter05, CS::operating-systems"
fvjdY>DZ6^, The average waiting time under the FCFS policy is often how long?,Quite long,"CS::OSChapter05, CS::operating-systems"
l<C.u)j($_,What is the difference between pre-emptive and non pre-emptive CPU scheduling?,"In non-preemptive CPU scheduling algorithms the processes wait until they’re terminated, in preemptive each process is given a set time.","CS::OSChapter05, CS::operating-systems"
O-yR0+xKmt,What is interrupt latency?,Time from arrival of interrupt to start of routine that services interrupt,"CS::OSChapter05, CS::operating-systems"
Q+#ax(Du]U,What does the OS do to the CPU when a process has to wait?,the operating system takes the CPU away from that process and gives the CPU to another process,"CS::OSChapter05, CS::operating-systems"
kv-0-[]LRE,What is a critical section?,"A section of the code that is critical, where only one process may be in the section at a time.","CS::OSChapter06, CS::operating-systems"
PRqFDbbr[Z,What is the entry section?,"The section before the critical section, where each process must ask permission to enter critical section","CS::OSChapter06, CS::operating-systems"
OTzWCt[FjB,What does it mean when a memory model is strongly ordered?,A memory modification of one processor is immediately visible to all other processors,"CS::OSChapter06, CS::operating-systems"
huLnreWFBt,What is a preemptive kernel?,"Preemptive Kernel, as name suggests, is a type of kernel that always executes the highest priority task that are ready to run. It cannot use-non-reentrant functions unless and until functions are mutual exclusive.","CS::OSChapter06, CS::operating-systems"
k9-_6h;p6#,What is a deadlock?,A deadlock is when two or more processes are waiting indefinitely for an event that can be caused by only one of the waiting processes. ,"CS::OSChapter06, CS::operating-systems"
"d5qBmN*,LB",What is memory model?,The memory guarantees a computer architecture makes to application programs,"CS::OSChapter06, CS::operating-systems"
g~SCsVnN*S,What problem do mutex locks solve?,Critical section problem,"CS::OSChapter06, CS::operating-systems"
t2:I(dxu7g, What refers to a set of properties that a system must satisfy to ensure that processes make progress during their execution life cycle?,Liveness,"CS::OSChapter06, CS::operating-systems"
"E,:%gJ/=8b",What does it mean when a memory model is weakly ordered?,A memory modification of one processor may not be immediately visible to all other processors,"CS::OSChapter06, CS::operating-systems"
|]Q*)~^sk,What is the exit section and remainder section?,The exit section is the section immediately following the critical section. The remainder section is the section following the exit section.,"CS::OSChapter06, CS::operating-systems"
mCaWOaI>8:,What is a non-preemptive kernel?,"Non-Preemptive Kernel, as name suggests, is a type of kernel that is free from race conditions on kernel data structures as only one process is active in kernel at a time. It is considered as a serious drawback for real time applications as it does not allow preemption of process running in kernel mode.","CS::OSChapter06, CS::operating-systems"
CQ8St(vby<,A binary semaphore is the same as what other locking mechanism?,mutex locks,"CS::OSChapter06, CS::operating-systems"
x*UGBUw8:p, Peterson's solution provides a good algorithmic description of solving what problem?,critical-section problem,"CS::OSChapter06, CS::operating-systems"
o}Jx(fA)~t," If two processes were to open files simultaneously, the separate updates to this list could result in what?",a race condition,"CS::OSChapter06, CS::operating-systems"
iA)-TwtpeD, On what system are spinlocks preferred?,multiprocessor,"CS::OSChapter06, CS::operating-systems"
vj<CU{F*+H, Who introduced semaphores?,Edsger Dijkstra,"CS::OSChapter06, CS::operating-systems"
jKWgJSTbkU,What is a binary semaphore?,An integer value that can range between only 0 and 1,"CS::OSChapter06, CS::operating-systems"
b!|s7^{Gq+,What is a counting semaphore?,An integer value that can range over an unrestricted domain,"CS::OSChapter06, CS::operating-systems"
gF4DUt:#V%,What is special about atomic variables?,They provide atomic (uninterruptible) updates on basic data types such as integers and booleans. ,"CS::OSChapter06, CS::operating-systems"
ICkME@2Ud~,"Which is preferable, mutex locks or binary semaphores?",Mutex locks,"CS::OSChapter06, CS::operating-systems"
w9<d7K[w9H,What is a memory barrier?,An instruction that forces any change in memory to be made visible to all other processors,"CS::OSChapter06, CS::operating-systems"
MAlqZDY?DB,"In the linux kernel, what can spinlocks be replaced by on single-cpu systems?",Enabling and disabling kernel preemption,"CS::OSChapter07, CS::operating-systems"
AM}&]H!}VW,Where is POSIX synchronization API widely used?,"UNIX, Linux and macOS","CS::OSChapter07, CS::operating-systems"
EJ4LApk:8,What is the bounded buffer problem also known as?,Producer consumer problem,"CS::OSChapter07, CS::operating-systems"
vOQIR3iw)b,Was the Linux kernel preemptive or non-preemptive prior to version 2.6?,Non-preemptive.,"CS::OSChapter07, CS::operating-systems"
jQ=^oo3J*[,What is the problem in reader-writer problem?,"Problems occur when both readers and writers try to access the object, or when more than one writer tries to access.","CS::OSChapter07, CS::operating-systems"
si7mVpe#Zx,How do we solve the reader-writer problem?,"Using semaphores, so that when a writer is writing, only the writer has access to the file. ","CS::OSChapter07, CS::operating-systems"
HQ2fl+tIw^,What is the bounded buffer problem a classic problem of?,Synchronization,"CS::OSChapter07, CS::operating-systems"
QoqOhb1w?R,How do we solve the bounded buffer problem?,"By creating two counting semaphores ""full"" and ""empty"" to keep track of the current number of full and empty buffers respectively.","CS::OSChapter07, CS::operating-systems"
e;m!w!#/Fc,Why are functional programming languages good for concurrency?,"They do not have a state, and therefore there are no issues in concurrency. ","CS::OSChapter07, CS::operating-systems"
Cy>&F2t$eO,How can you invalidate <b>hold and wait</b> to ensure deadlock prevention?,"Guarantee that whenever a process requests a resource, it does not hold any other resources.","CS::OSChapter08, CS::operating-systems"
gf}sWBvOQ^," As long as the state is safe, what can the operating system avoid?",unsafe (and deadlocked) states,"CS::OSChapter08, CS::operating-systems"
nQys7hv3eb,What is banker’s algorithm?,The banker’s algorithm is a resource allocation and deadlock avoidance algorithm,"CS::OSChapter08, CS::operating-systems"
LF?a89x3{]," A thread requests resources; if the resources are not available at that time, what state does the thread enter?",a waiting state,"CS::OSChapter08, CS::operating-systems"
sVn7reEh_V,What is starvation?,Starvation is the problem that occurs when low priority processes get jammed for an unspecified time as the high priority processes keep executing.,"CS::OSChapter08, CS::operating-systems"
LDSd5VrCOk,What is a possibility if a thread needs several popular processes?,Starvation,"CS::OSChapter08, CS::operating-systems"
r?MpDHokKj, What is another name for unsafe states?,deadlocked state,"CS::OSChapter08, CS::operating-systems"
"ADF,FTNTrJ",When can you invalidate <b>mutual exclusion</b> to ensure that deadlocks do not happen? (When is mutual exclusion not required),Mutual Exclusion is not required for sharable resources (e.g. read-only files). Mutual exclusion must hold for non-sharable resources,"CS::OSChapter08, CS::operating-systems"
E!g0K}PD~^, What is liveness failure similar to?,deadlock,"CS::OSChapter08, CS::operating-systems"
EkU>wBkSkz,What is effective access time?,The ‘effective access time’ is essentially the (weighted) average time it takes to get a value from memory.,"CS::OSChapter09, CS::operating-systems"
vJ32a4rJar,What is Contiguous Allocation?,Contiguous memory allocation is basically a method in which a single contiguous section/part of memory is allocated to a process or file needing it.,"CS::OSChapter09, CS::operating-systems"
uFZ]jd<XpD,What is external fragmentation?,"Total memory space exists to satisfy a request, but it is not contiguous.","CS::OSChapter09, CS::operating-systems"
MJqLQ^w-d;,What is internal fragmentation?,Allocated memory may be slightly larger than requested memory,"CS::OSChapter09, CS::operating-systems"
w|.L}SY}(A,What are Hierarchical Page Tables?,Multilevel Paging is a paging scheme which consist of two or more levels of page tables in a hierarchical manner.,"CS::OSChapter09, CS::operating-systems"
tItKGv&!3k,What size is a frame? (In paging),Of power 2 between 512 bytes and 16 Mbytes,"CS::OSChapter09, CS::operating-systems"
ta[L1b`Phg,What is paging?,Paging is a storage mechanism used to retrieve processes from the secondary storage into the main memory in the form of pages.,"CS::OSChapter09, CS::operating-systems"
E+J|b!e:4c,What is page offset used for?,It is used along with page number to define the physical memory address that is sent to the memory unit.,"CS::OSChapter09, CS::operating-systems"
xg[Pq1`y`4,What does the Page-table base register and Page-table length register do?,"PTBR points to the page table, PTLR indicates the size of the page table. ","CS::OSChapter09, CS::operating-systems"
n8B.AW>I[>,What is translation lookaside buffer?,A translation lookaside buffer (TLB) is a memory cache that stores recent translations of virtual memory to physical addresses for faster retrieval.,"CS::OSChapter09, CS::operating-systems"
DI=S:z4_d&,What happens on a translation lookaside buffer miss?,The value is loaded into the TLB for faster access next time.,"CS::OSChapter09, CS::operating-systems"
G<FVAU<{9H,"What is the page number used for, and what does it contain?","It is used as an index into a page table, and it contains the base address of each page in physical memory","CS::OSChapter09, CS::operating-systems"
exl:8+V!L~,What does android do instead of swapping?,"Terminates apps if low free memory, but first writes application state to flash for fast restart","CS::OSChapter09, CS::operating-systems"
h.F<NQM2^@,What is a page table?,A page table is the data structure used by a virtual memory system in a computer operating system to store the mapping between virtual addresses and physical addresses.,"CS::OSChapter09, CS::operating-systems"
"yCL,<T[6nt",What are Hashed Page Tables?,"n hashed page tables, the virtual page number in the virtual address is hashed into the hash table. They are used to handle address spaces higher than 32 bits. ","CS::OSChapter09, CS::operating-systems"
ADm_YX9IG?,Where is page table kept?,In main memory.,"CS::OSChapter09, CS::operating-systems"
H{W1kaao4],What is swapping?,Swapping is a memory management scheme in which any process can be temporarily swapped from main memory to secondary memory so that the main memory can be made available for other processes.,"CS::OSChapter09, CS::operating-systems"
G4vLgUo=[3,What is variable-sized memory partitioning?,"In variable-sized memory partitioning, the main memory is divided into blocks of the same or different sizes","CS::OSChapter09, CS::operating-systems"
ioAJ3.u<N&,What is Contiguous memory?,"Consecutive blocks of memory allocated to user processes are called contiguous memory. For example, if a user process needs some x bytes of contiguous memory, then all the x bytes will reside in one place in the memory that is defined by a range of memory addresses: 0x0000 to 0x00FF","CS::OSChapter09, CS::operating-systems"
"G~]1vx,`~3", When is dynamic loading useful?,when large amounts of code are needed to handle infrequently occurring cases,"CS::OSChapter09, CS::operating-systems"
tE2{U.NeI/,What is the Inverted Page Table technique?,"An inverted page table is one of the techniques to structure a page table, where the table is indexed by the actual frame number in the physical memory.","CS::OSChapter09, CS::operating-systems"
Avp{bKCcDG,"Address binding of instructions and data to memory addresses can happen at three different stages, what are the stages?","Compile time, load time and execution time","CS::OSChapter09, CS::operating-systems"
Jb=(h@n<uQ,What is the difference between logical address (virtual address) and physical address?,The logical address is generated by the CPU and the physical address is seen by the memory unit. ,"CS::OSChapter09, CS::operating-systems"
PQu)VDWe#Q,What is MMU short for?,Memory-Management Unit,"CS::OSChapter09, CS::operating-systems"
llbgc5]|hX,What is dynamic linking?,Dynamic linking is linking postponed until execution time. ,"CS::OSChapter09, CS::operating-systems"
H}>)5zMKzj,What is static linking?,System libraries and program code combined by the loader into the binary program image.,"CS::OSChapter09, CS::operating-systems"
n[r.ck^qDh, What does paging allow a process's physical address space to be?,noncontiguous,"CS::OSChapter09, CS::operating-systems"
K<RO^IJCf<,What is a hole? (In memory),A block of available memory,"CS::OSChapter09, CS::operating-systems"
MbkKmVWI]+, What is the advantage of dynamic loading?,a routine is loaded only when it is needed,"CS::OSChapter09, CS::operating-systems"
uASkf1}f}(,What does iOS do instead of swapping?,It asks apps to voluntarily relinquish allocated memory,"CS::OSChapter09, CS::operating-systems"
IcHlx#?m{I,What is the purpose of the MMU (Memory Management Unit)?,It is a hardware device that at run time maps virtual to physical address,"CS::OSChapter09, CS::operating-systems"
uatU$m/u)r,What is virtual address space?,Logical view of how process is stored in memory,"CS::OSChapter10, CS::operating-systems"
zgYLuZ*0)W,What is a page fault?,An exception that the memory management unit raises when a process accesses a memory page that has not yet been brought into main memory.,"CS::OSChapter10, CS::operating-systems"
k+Z*;/x{`Z,What happens if the valid-invalid bit is invalid when the MMU is translating?,A page fault occurs,"CS::OSChapter10, CS::operating-systems"
kO7AAYoK-_,How is the valid-invalid bit on each page table entry initially set?,"Initially it is set to I (invalid, not in memory)","CS::OSChapter10, CS::operating-systems"
ht0+p&L>3$,What does it mean for a program to be memory-resident?,A memory-resident program has the ability to stay in the computer's memory after execution and to continuously run.,"CS::OSChapter10, CS::operating-systems"
i-O/OdM4e,What is a swapper that deals with pages called?,A pager,"CS::OSChapter10, CS::operating-systems"
KXMFw:%#on,What is pure demand paging?,When no pages are loaded into the memory initially.,"CS::OSChapter10, CS::operating-systems"
I}Qt62a0]G,What is virtual memory?,Separation of user logical memory from physical memory,"CS::OSChapter10, CS::operating-systems"
yjwFU]?C%+,What is slab allocation?,A memory management mechanism intended for efficient memory allocation of objects. ,"CS::OSChapter10, CS::operating-systems"
Grwj)S@Zu],Why are page replacement algorithms needed?,Because we need to know which pages should be replaced when a new page comes in.,"CS::OSChapter10, CS::operating-systems"
"q8@eNF|,tP",What is the buddy system?,A memory allocation algorithm that divides memory into partitions to try to satisfy a memory request as suitably as possible.,"CS::OSChapter10, CS::operating-systems"
xoXg`>=BLu,How does the buddy system allocate memory?,"Using power-of-2 allocator, which satisfies requests in units sized as power of 2, and requests are rounded up to next highest power of 2.","CS::OSChapter10, CS::operating-systems"
l*rXE{Q=kY, What did SLUB replace as the default allocator for the Linux kernel?,SLAB,"CS::OSChapter10, CS::operating-systems"
fu?=V60)qf,What does it mean when a page table entry is valid?,"The program is in-memory, or memory resident.","CS::OSChapter10, CS::operating-systems"
zR!Imd1d0n,What is demand paging?,"Demand paging is a method of virtual memory management. In a system that uses demand paging, the operating system copies a disk page into physical memory only if an attempt is made to access it and that page is not already in memory.","CS::OSChapter10, CS::operating-systems"
D]0hGbb-R,What is a victim frame?,A frame which will be replaced by a frame replacement algorithm.,"CS::OSChapter10, CS::operating-systems"
BT^z4PNd6l,What does Copy-on-Write allow?,"Copy-on-Write (COW) allows both parent and child processes to initially share the same pages in memory. If either process modifies a shared page, then the page is copied.","CS::OSChapter10, CS::operating-systems"
"t<,U[$lzu2",Is HDD best at random or sequential I/O?,Sequential.,"CS::OSChapter11, CS::operating-systems"
"ynS-fq?,O[",When is the root partition mounted?,At boot time.,"CS::OSChapter11, CS::operating-systems"
DV{26-i8Jl,What is network-attached storage?,Storage made available over a network rather than over a local connection,"CS::OSChapter11, CS::operating-systems"
m.-n17E~Rn,What is disk bandwidth?,"The total number of bytes transferred, divided by the total time between the first request for service and the completion of the last transfer","CS::OSChapter11, CS::operating-systems"
H[H%ZqJe9M,Why does NVM performance decrease with age?,Because of many erase cycles,"CS::OSChapter11, CS::operating-systems"
trr[|d1&&?,What is a problem with the shortest seek time first algorithm?,Starvation may occur,"CS::OSChapter11, CS::operating-systems"
pAlRd`@NR@,How does the SCAN algorithm work?,"The disk arm starts at one end of the disk and moves toward the other end, servicing requests until it gets to the other end of the disk, where the head movement is reversed and servicing continues. ","CS::OSChapter11, CS::operating-systems"
u*#M@}-(=Q,How does the shortest seek time first (SSTF) algorithm work?,It selects the request with the minimum seek time from the current head position.,"CS::OSChapter11, CS::operating-systems"
OlzpQ!8RKR,What is the difference between the C-SCAN and the SCAN algorithm?,"When the head has moved to the end of the disk, in the C-SCAN algorithm it immediately goes back.","CS::OSChapter11, CS::operating-systems"
JGDNS++Y(c,What is the SCAN algorithm sometimes called?,The elevator algorithm,"CS::OSChapter11, CS::operating-systems"
l[IK=?I315,Is NVM best at random or sequential I/O?,Random. ,"CS::OSChapter11, CS::operating-systems"
q]Qm[`:.45, What is the general term for nonvolatile storage?,NVS,"CS::OSChapter11, CS::operating-systems"
wg#<Djr]#J,How is the life span of an SSD measured?,Drive writes per day (DWPD). Meaning a 1TB NAND drive with rating of 5DPWPD is expected to have 5TB per day written within warrantee period without failing,"CS::OSChapter11, CS::operating-systems"
D!ia!l^B]=,Where does NVMe connect to?,PCI bus directly,"CS::OSChapter11, CS::operating-systems"
y}YO<6#yIW,How does overwriting work on an SSD?,It does not. ,"CS::OSChapter11, CS::operating-systems"
h~3Ij)1R0M, What is NVM express?,electrical rather than mechanical,"CS::OSChapter11, CS::operating-systems"
"w|,<=TW@zl", What does NVM stand for?,Nonvolatile memory,"CS::OSChapter11, CS::operating-systems"
L$z0XZtE_1, Why can NVM devices be more reliable than HDDs?,They have no moving parts and can be faster because they have no seek time or rotational latency,"CS::OSChapter11, CS::operating-systems"
K$`s!;S{(S," CDs, DVDs, and Blu-ray discs are what type of storage media?",removable,"CS::OSChapter11, CS::operating-systems"
K1+Pn!&Qd^,What is positioning time in HDDs? (random-access time),The time it takes to move disk arm to desired cylinder (seek time) and time for desired sector to rotate under the disk head (rotational latency),"CS::OSChapter11, CS::operating-systems"
EN.M$K{.!M,What is seek time in HDDs?,The time it takes to move disk arm to desired cylinder,"CS::OSChapter11, CS::operating-systems"
Q$qQpsmXFA,What is a head crash in HDDs?,When the disk head makes contact with the disk surface (not good),"CS::OSChapter11, CS::operating-systems"
iRqhn]cLzj,What are disk-drive like NVM devices called?,SSD’s,"CS::OSChapter11, CS::operating-systems"
bbfZxY^*UF,What is the transfer rate in HDDs?,The rate at which data flow between drive and computer,"CS::OSChapter11, CS::operating-systems"
"r,o6D:Du)z",What is Fibre Channel (FC)?,"A complex controller, usually separate circuit board plugging into bus","CS::OSChapter12, CS::operating-systems"
Cd${gSoYoK,What does Vectored I/O allow a system call to do?,Vectored I/O allows one system call to perform multiple I/O operations,"CS::OSChapter12, CS::operating-systems"
gEE:4wLS9=,"NFS, a common distributed file sharing method, is short for what?",Network File System,"CS::OSChapter13, CS::operating-systems"
M-nWhIrxo+,What does the open-file table do?,Tracks open files,"CS::OSChapter13, CS::operating-systems"
lc`bg&ol#@, What can be of two types of path names?,absolute and relative,"CS::OSChapter13, CS::operating-systems"
d57Lh7Lk+M,What are tree-structured directories?,Directories grouped into trees,"CS::OSChapter13, CS::operating-systems"
q=cNgT#E?),What is a two-level directory?,Separate directory for each user,"CS::OSChapter13, CS::operating-systems"
Im?)cD}h~_,What are partitions also known as?,"Minidisks, slices","CS::OSChapter13, CS::operating-systems"
jhwYp?Mr)G, The simplest directory structure is what?,single-level directory,"CS::OSChapter13, CS::operating-systems"
Jt41w/5~Z>, What are useful for files that are shared by several processes?,File locks,"CS::OSChapter13, CS::operating-systems"
Pb0-afuR#Q,What is the file-open count?,Counter of number of times a file is open – to allow removal of data from open-file table when last processes closes it.,"CS::OSChapter13, CS::operating-systems"
MDSk/SCDTE,What is the difference between sequential access and direct access?,"With sequential access you read and write the next byte, while in direct access you can read/write byte number <i>n</i>. For direct access the file is fixed length.","CS::OSChapter13, CS::operating-systems"
yE#C.pICoi,What is a single-level directory?,A single directory for all users. This presents us with a naming and grouping problem.,"CS::OSChapter13, CS::operating-systems"
c-zX|Zq6.v,What is an unmounted file system mounted at?,A mount point,"CS::OSChapter13, CS::operating-systems"
D<rz3dBm`t, Repositioning within a file is also known as what?,a file seek,"CS::OSChapter13, CS::operating-systems"
y_]PHSIQ/e,What is the file pointer?,"The pointer to last read/write location, per process that has the file open","CS::OSChapter13, CS::operating-systems"
vt-9tzJJo},What is file locking?,"a mechanism that restricts access to a computer file, or to a region of a file, by allowing only one user or process to modify or delete it at a specific time and to prevent reading of the file while it's being modified or deleted. ","CS::OSChapter13, CS::operating-systems"
KkI!Xbb(rw,What is a link in a directory file system?,Another name (pointer) to an existing file,"CS::OSChapter13, CS::operating-systems"
m_{:6EN:|-,What is a device driver?,A device driver is a special kind of software program that controls a specific hardware device attached to a computer. ,"CS::OSChapter14, CS::operating-systems"
eU5EUux&7o, What are the most common strategies used to select a free hole from the set of available holes?,First fit and best fit,"CS::OSChapter14, CS::operating-systems"
ejPf*>A-Ga,What does consistency checking do?,"Compares data in directory structure with data blocks on disk, and tries to fix inconsistencies","CS::OSChapter14, CS::operating-systems"
l54c#WU7)v,What is NFS short for?,The Sun Network File System,"CS::OSChapter15, CS::operating-systems"
Cke/b.ojsR,What is NFS?,An implementation and a specification of a software system for accessing remote files across LANs or WANs,"CS::OSChapter15, CS::operating-systems"
g`y?I{#7M/,What does the root partition contain?,The OS,"CS::OSChapter15, CS::operating-systems"
Keq@b4a`yq,How do keys work in asymmetric encryption?,A public key and a private key are used together to encrypt,"CS::OSChapter16, CS::operating-systems"
rKqA>]h&RS,What is the term for people who can run pre-written exploit code to attack a given system?,Script kiddies,"CS::OSChapter16, CS::operating-systems"
w98K:Dclj&,When can a code-injection attack occur?,When system code has bugs allowing executable code to be added or modified,"CS::OSChapter16, CS::operating-systems"
vo3/<)qp*B,What is the purpose of a Virus dropper?,It inserts a virus onto the system (usually a trojan horse),"CS::OSChapter16, CS::operating-systems"
o{Z5}5]R7k,How do keys work in symmetric encryption?,The same key is used to encrypt and decrypt,"CS::OSChapter16, CS::operating-systems"
q$UA^O:M)e,What are digital certificates used for?,A proof of who or what owns a public key.,"CS::OSChapter16, CS::operating-systems"
"gifp,-_0Fx",What does a virus dropper do?,Inserts virus onto the system (usually a Trojan horse),"CS::OSChapter16, CS::operating-systems"
j1?BZFiC5k,What is a digital signature?,a mathematical scheme for verifying the authenticity of digital messages or documents,"CS::OSChapter16, CS::operating-systems"
J|zAGLH242,What is ransomware?,"A logical bomb that locks up data via encryption, demanding payment to unlock it","CS::OSChapter16, CS::operating-systems"
AUxm1I/k+O,Who are certificate authorities?,"Trusted parties that stores, signs, and issues digital certificates","CS::OSChapter16, CS::operating-systems"
qc&*YEoY@1,What is a Trojan Horse?,"A code segment that misuses its environment (e.g. spyware, pop-up browser windows, covert channels)","CS::OSChapter16, CS::operating-systems"
erx)_b}v-z,What is mandatory access control?,mandatory access control refers to a type of access control by which the operating system or database constrains the ability of a subject or initiator to access or generally perform some sort of operation on an object or target,"CS::OSChapter17, CS::operating-systems"
O1b%r1*2:},What is audit trail?,"A security-relevant chronological record, set of records, and/or destination and source of records that provide documentary evidence of the sequence of activities that have affected at any time a specific operation, procedure, or event.","CS::OSChapter17, CS::operating-systems"
Dj8(V1<b;{,What is principle of least privilege?,"Programs, users and systems should be given just enough privileges to perform their tasks","CS::OSChapter17, CS::operating-systems"
b[q/qU[Lv%,What are protection rings?,mechanisms to protect data and functionality from faults and malicious behaviour. It puts parts of the operating system into different rings of privilege,"CS::OSChapter17, CS::operating-systems"
t6iWR>Vay:,Do usb mice and sound cards use character devices or block devices?,Character devices.,"CS::OSMisc, CS::operating-systems"
h>I1gtKEy$,What does the minor number in <i>/dev</i> signify?,The minor number corresponds to the number of instances of the device. A minor number starts at 0 and goes to the number of instances minus one. Each instance will have its own minor number. ,"CS::OSMisc, CS::operating-systems"
"r(&x],K*(j",What is a race condition?,Race conditions are a result of uncontrolled access to shared data.,"CS::OSMisc, CS::operating-systems"
DRvqLGP%!o,What is a spinlock?,"A lock that forces a process that is trying to access the lock to wait in a loop while repeatedly checking if the lock is available, until the lock is available.","CS::OSMisc, CS::operating-systems"
"L.#,O!n0)@","What is the consequence of a fault in a kernel module, and how is it different from a fault in a normal application?","In a normal program a debugger can catch faults, while with kernel modules the kernel, or maybe even the entire system fails completely. ","CS::OSMisc, CS::operating-systems"
ioL!}0-RY%,What is the difference between <i>insmod</i> and <i>modprobe</i>?,"Modprobe loads any other modules required by the module you want to load, <b>but</b> only look sin the standard installed modules directory.","CS::OSMisc, CS::operating-systems"
D)O|qHnwmd,Do kernel modules run in user space?,"No, they run in kernel space. Normal applications run in user space.","CS::OSMisc, CS::operating-systems"
F:F^O#vFWh,What is locking or mutual exclusion?,A technique for access management that makes sure only one thread of execution can manipulate a shared resource at any time. ,"CS::OSMisc, CS::operating-systems"
"bU%]|X<n?,",What does the major number in <i>/dev</i> signify?,A unique way of identifying a driver which can be associated with a particular device device.,"CS::OSMisc, CS::operating-systems"
g/80]Hz$fn,What is the difference between kernel modules and applications?,Two main differences: Kernel Modules are exclusively event-driven and a kernel modules exit function <b>always</b> has to clean up from the init function. ,"CS::OSMisc, CS::operating-systems"
HNLE!/PgzN,What is the main difficulty that a programmer must overcome in writing an operating system for a real-time environment?,"The main difficulty is keeping the operating system within the fixed time constraints of a real-time system. If the system does not complete a task in a certain time frame, it may cause a breakdown of the entire system.","CS::OSPEChapter01, CS::operating-systems"
OL^@brxF#3,What is the main disadvantage of the layered approach to system design?,Poor performance due to overhead of traversing through the different layers to obtain a service provided by the operating system,"CS::OSPEChapter02, CS::operating-systems"
i}r$#j3hWe,What is the main advantage of the layered approach to system design?,"It is easier to debug and modify, because changes affect only limited sections of the system rather than touching all sections. Information is kept only where it is needed and is accesible only within a defined and restricted area, so any bugs affecting that data must be limited to a specific module or layer.","CS::OSPEChapter02, CS::operating-systems"
e+GD}$%O*f,What is the purpose of system programs?,They can be thought of as bundles of useful system calls. They provide basic functionality to users so that users do not need to write their own programs to solve common problems.,"CS::OSPEChapter02, CS::operating-systems"
e30j>M0oCh,What system calls have to be executed by a command interpreter or shell in order to start a new process on a UNIX system?,"fork() system call and an exec() system call. Fork() clones the currently executing process, while exec() overlays a new process based on a different executable over the calling process","CS::OSPEChapter02, CS::operating-systems"
mv`)UM)Kv#,What is the purpose of the command interpreter? Why is it usually seperate from the kernel?,"It reads commands from the user and executes them, usually by turning them into one or more system calls. It is not part of the kernel, because the interpreter is subject to changes. ","CS::OSPEChapter02, CS::operating-systems"
fR$FMp{dR`,What is the purpose of system calls?,They allow user-level processes to request services of the operating system,"CS::OSPEChapter02, CS::operating-systems"
kjA=Kp$fC&,"Why do some systems store the operating system in firmware, while others store it on disk?","For certain devices, such as embedded systems, a disk with a file system may not be available for the device. In this situation the OS must be stored in the firmware.","CS::OSPEChapter02, CS::operating-systems"
hZAAL<ZS3S,"When a process creates a new process using the fork() operating, which of the following states is shared between the parent process and the child process? Stack,m heap and shared memory segments",Only the shared memory segments are shared between the parent process and the newly forked child process. Copies of the stack and the heap are made for the newly created process.,"CS::OSPEChapter03, CS::operating-systems"
s2~k!vV>zD,"When each thread is performing the same task but on different data, is it data or task parallelism?",Data parellelism.,"CS::OSPEChapter04, CS::operating-systems"
Jg![?OXla-,What resources are used when a thread is created? How do they differ from those used when a process is created?,"Thread creation typically uses fewer resources than process creation. Creating a process requires allocating a process control block, a rather large data structure. Allocating and managing the memory map is typically the most time-consuming activity. Creating either a user thread or a kernel thread involves allocating a small data structure to hold a register set, stack and priority. ","CS::OSPEChapter04, CS::operating-systems"
h1W+eVM7V5,What are the actions taken by a kernel to context-switch between kernel-level threads?,It typically requires saving the value of the CPU registers from the thread being switched out and restoring the CPU registers of the new thread being scheduled.,"CS::OSPEChapter04, CS::operating-systems"
FR!VG$xc=O,Explain the difference between preemptive and nonpreemptive scheduling.,"In preemptive scheduling, the CPU is allocated to the processes for a limited time whereas, in Non-preemptive scheduling, the CPU is allocated to the process till it terminates or switches to the waiting state.","CS::OSPEChapter05, CS::operating-systems"
B#MK!US;0|,"A CPU scheduling algorithm determines an order for the execution of its scheduled processes. Given ‘n’ processes to be scheduled on one processor, how many possible different schedules are there?",n!,"CS::OSPEChapter05, CS::operating-systems"
zM2RZ.46O2,What advantage is there in having different time-quantum sizes at different levels of a multilevel queueing system?,"Processes that need more frequent servicing, for instance, interactive processes such as editors, can be in a queue with a small time quantum.","CS::OSPEChapter05, CS::operating-systems"
lhkVsfr1ms,What is the difference between volatile and nonvolatile storage?,volatile memory forgets its contents if its power source is removed,"CS::OSRQChapter01, CS::operating-systems"
NalJ}oo9tV, What is the common name used to refer to the operating system program?,Kernel,"CS::OSRQChapter01, CS::operating-systems"
y127cI-Pmx,What is another term for multiprocessor system?,Parallel systems/multicore systems,"CS::OSRQChapter01, CS::operating-systems"
f$6]4N:!)L,The most common multiple-processor system uses asymmetric multiprocessing. (True/False),False - Symmetric Multiprocessing is the most common.,"CS::OSRQChapter01, CS::operating-systems"
"EkrmL,<,-:",What are the four components of a computer system?,<ul><li>Hardware</li><li>Operating System</li><li>Application Programs</li><li>Users</li></ul>,"CS::OSRQChapter01, CS::operating-systems"
